!IOTYPE  ikx stn_id
 ps      120 72562
 t       120 72562
 q       120 72562
 uv      220 72562
 ps      120 72634
 t       120 72634
 q       120 72634
 uv      220 72634
 ps      120 72558
 t       120 72558
 q       120 72558
 uv      220 72558
 ps      120 72662
 t       120 72662
 q       120 72662
 uv      220 72662
 ps      120 72645
 t       120 72645
 q       120 72645
 uv      220 72645
 ps      120 72672
 t       120 72672
 q       120 72672
 uv      220 72672
 ps      120 72476
 t       120 72476
 q       120 72476
 uv      220 72476
 ps      120 72659
 t       120 72659
 q       120 72659
 uv      220 72659
